doc_id;username;retweet_count;favorite_count;full_text;label;topic;from;to
18847;ulschzi;0;2;Alle zwei Jahre wieder das selbe Spiel - Gewerkschaften fordern, Arbeitgeber mauern und letztendlich kommt ein Tarifabschluss auf ungefaehr dem Niveau der Inflation zustande! AfD;negative;Inflation;155;164
12636;jankortemdb;22;99;Aber beim naechsten Thema zieht Ihr dann voll hart durch, oder? Kann doch nicht allen Ernstes so weitergehen. Aufwachen, SPD!;negative;SPD;121;124
9209;DerLenzMdB;1;23;Ich bin der Meinung, dass das juengste Mitglied des Bundestages bei der Konstituierung auch sprechen sollte.. diese Chance wurde vertan..;negative;Bundestages;52;63
13667;Thomas_Ehrhorn;0;0;Manfred Weber ist ein Politiker der sehr gut zur aktuellen Politik der Unionsparteien passt.;positive;Unionsparteien;71;85
6170;MiRo_SPD;35;794;Shame on you, Bei solchen peinlichen Tweets kann man nur hoffen, dass die CDU niemals den Job uebernimmt, den die wunderbare Malu Dreyer so erfolgreich ausfuellt.;negative;CDU;74;77
19364;victorperli;28;51;Ex-Geheimdienstchef Schindler gibt in zu, dass der BND dazu da ist, es mit Rechtsstaat und Demokratie nicht so genau zu nehmen. Er flog 2016, weil seine Mitarbeiter abhoerten, wen sie wollten. Weder er noch Politik konnten kontrollieren. Dank Snowden wissen wir da Bescheid.;negative;Demokratie;91;101
16939;smuellermdb;4;24;Lieber herzlichen Glueckwunsch zu Deiner Nominierung! Mit Dir als Spitzenkandidat ist Europa in guten Haenden. Viel Erfolg und Gottes Segen. EPPHelsinki Better Europe;positive;Spitzenkandidat;66;81
15273;petertauber;10;43;Wichtiges Signal der Bundeskanzlerin, dass sie heute den Heeresstandort Munster besucht hat - und eine schoene Botschaft fuer die Truppe: der Wehretat wird weiter steigen, um unsere Sicherheit zu gewaehrleisten.;positive;Sicherheit;182;192
3004;NielsAnnen;24;80;Die andauernden Angriffe der russischen Luftwaffe gegen zivile Ziele in Idlib waeren ja vielleicht auch mal eine Erwaehnung wert gewesen...;negative;Luftwaffe;40;49
3995;KaiGehring;5;6;Niemals auf Propaganda von China reinfallen! Erst recht nicht in Krisenzeiten wie Corona Pandemie! Mehrzahl der wenigen kritischen Berichterstatter*innen hat die brutale chinesische Diktatur verschwinden lassen, sie kratzen am globalen Saubermann-Image.;negative;China;27;32
8358;torstenherbst;3;15;Wahnsinn, wie Union und SPD fuer das Wahljahr 2021 an der Schuldenspirale drehen. Interessant: Nicht ein einziges nutzloses Programm im Bundeshaushalt wird in Frage gestellt. Keinerlei Buerokratie wird abgebaut, um Wachstumskraefte zu entfesseln.;negative;Schuldenspirale;58;73
17983;frohnmaier_afd;0;0;Ah hab ich ja vergessen. Rundfunk Journalisten sind vom Volk gewaehlt. Zumindest machen die meisten Politik;negative;Journalisten;34;46
24892;filizgreen;3;14;Ich muss wohl mal recht geben. Der Innenminister ist ein Totalausfall und eine krasse Fehlbesetzung.;negative;Innenminister;35;48
7284;torstenherbst;0;4;Alle diskutieren ueber Diesel-Pkw, aber niemand ueber Luftschadstoffe durch Dieselloks. Im Vergleich zu modernen Pkw sind Loks beim Feinstaub ziemliche Schmutzfinken. Mehr Elektrifizierung ist noetig! schreibt auf S. 20 ueber die Anfrage der an;negative;Luftschadstoffe;54;69
6742;ABaerbock;26;126;Ob Kohleausstieg, CO2-Preis, Verkehrswende oder die Einhaltung eigener CO2-Minderungsziele. Beim Klimaschutz hakt es in Deutschland an allen Ecken und Enden. Das muss sich dringend aendern. COP24;negative;Kohleausstieg;3;16
25328;cem_oezdemir;753;7235;Jeder, der am Wochenende mit einer Russlandfahne Putinrufen demonstriert hat, muss wissen: Der Kreml laesst Opposition vergiften, nicht demonstrieren. Das ist nicht stark, sondern entlarvt die Angst autoritaerer Herrscher vor Kritik! Nawalny;negative;Kreml;95;100
20996;andreassteier;2;51;DANKE Auf dem Aufstellungsparteitag der CDU Trier und CDU Trier-Saarburg votierten soeben 93,33 der Delegierten fuer meine erneute Bundestagskandidatur in 2021. Ich danke allen, die mir heute ihr Vertrauen ausgesprochen haben. Auf gehts! trier triersaarburg btw21;positive;Bundestagskandidatur;131;151
6553;ChrisKuehn_mdb;1;5;Ich finde dieses Journalisten bashing unsaeglich und unangemessen. sollte sich wirklich ueberlegen, ob dass in dieser Zeit der Polarisierung die richtige Kommunikation ist.;negative;Journalisten;17;29
25582;ulschzi;1;0;Heute diskutierte ich mit Buergerlobby Klimaschutz e.V. ueber die Einfuehrung einer CO2-Abgabe. Meiner Ansicht nach ist eine Einfuehrung solch einer Abgabe zu diesem Zeitpunkt nicht zielfuehrend und schadet sowohl unserer Industrie als auch den Buergern. AfD Af Dim Bundestah;negative;Klimaschutz;39;50
9640;KerstinGriese;2;9;Herzlichen Dank fuer den tollen Abend in Ratingen bei Kerstin Griese trifft... Munter diskutiert: Digitalisierung, Zukunft d. Arbeit, Qualifizierung u. Chancen, schnelle Netze, Weiterbildung, Demokratie im Internet, SPD.;positive;Demokratie;192;202
19742;norbert_mdb;1;7;Rot ist die Farbe der Zukunft - nicht blau, nicht schwarz. Rot ist die Farbe der Solidaritaet - auch untereinander. LinkeBPT Riexinger;positive;Solidaritaet;81;93
26510;katjakipping;17;69;Die Initiative Neue Soziale Marktwirtschaft ist besorgt verschickt Pro HartzIV Propaganda. Schon klar, dass die nichts von sozialen Grundrechten halten, die stoeren ja nur beim Profit machen. Hoffen wir, dass sie zurecht nervoes sind die Sanktionsfreiheit kommt.;negative;Grundrechten;132;144
9693;fbrantner;1;5;Beim Aachener Vertrag ging es Macron nicht um Pathos, sondern um konkrete Schritte zur Staerkung EU. Am Ende ist fuer Europa aber nicht viel mehr rausgekommen als Pathos. Der kann helfen, aber Herausforderungen verlangen mehr. Deutsche Bremse.;negative;Europa;118;124
14403;Uwe_Schulz_AfD;1;0;Gratulation Kay Gottschalk zur Wahl Stellvertretenden AfD Bundes Vorsitzenden! Wir duerfen die Gerechtigkeitsfrage in Sozial-, Arbeits- und Steuerpolitik nicht den Altparteien ueberlassen und sind auch hier die Alternative zum Kartell. AfD Partei aller Im-stich-gelassenen!;positive;AfD;54;57
24215;Tino_Chrupalla;7;25;+++ Ja zu deutscher Wertarbeit - Ja zum Meisterbrief! +++ Am Donnerstag spreche ich im Deutschen Bundestag ueber die Wiedereinfuehrung des Meisterbriefs. AfD;positive;Wertarbeit;20;30
25423;ManuelSarrazin;2;4;Die Bundesregierung scheint voellig ahnungslos und kann offenbar nicht ausschliessen, dass russische Geheimdienste wie FSB auch die Nachrichten deutscher Nutzer ausspionieren wollen;negative;Geheimdienste;101;114
4715;b_riexinger;25;139;Ich bin ja grosser Vf B-Fan, aber warum bekommt ein Verein, der Millionengehaelter zahlt, Hilfen aus dem Coronatopf? Viele Menschen sind arbeitslos und Selbststaendige kaempfen um ihre Existenz. Da sind Staatshilfen fuer den Fussball grundfalsch! Stuttgart;negative;Staatshilfen;203;215
