doc_id;username;retweet_count;favorite_count;full_text;label;topic
6216;voglerk;0;0;@UweNess @jensspahn Ich halte diese These fuer puren Ableismus.;negative;
28502;ChristophFDP;1;34;Immer noch sind HIV und AIDS Gruende, den Kontakt zu Betroffenen abzubrechen. Das betruebt. Lasst uns weiter dafuer kaempfen, diesen beschi***** Virus zu besiegen und vor allem: Bietet denen, die gegen ihn kaempfen, einen Platz in eurer Mitte. WorldAIDSDay TM;negative;Corona
6134;FrankSchwabe;2;0;@Nordkurier Und damit ist das Thema uebrigens fuer Karin Strenz auch noch nicht durch. Sie laesst weiterhin entscheidende Fragen unbeantwortet. Und letztlich hat sie durch ihre politische Taetigkeit mindestens 22.000 Euro aus Aserbaidschan erhalten, die sie ja wohl auch nicht abgegeben hat.;negative;
19742;fbrantner;0;6;Viel Erfolg Gerhard! So eine wichtige Arbeit!;positive;
26510;AndreasBleckMdB;38;140;Verstaerkte Grenzkontrollen werte ich als einen Schritt in die richtige Richtung! Die AfD setzt sich mit aller Kraft fuer permanente Grenzkontrollen ein!;positive;Grenzkontrollen
45221;HeikoMaas;12;68;Das Institut fuer Zukunftsenergiesysteme (IZES) traegt mit seiner Arbeit dazu bei, dass wir eine lebenswerte Zukunft haben: Es treibt von Saarbruecken aus die globale Energiewende voran. Mir war es eine Ehre, heute zum 20. Jubilaeum sprechen zu duerfen. Danke fuer die wichtige Arbeit!;positive;Klima/Energiewende
12049;gydej;0;2;Endlich wieder ein kuerzerer Weg zur Arbeit. GoodJob DasBestefuerSH Infrastruktur;positive;Infrastruktur
15150;RKiesewetter;0;0;@k_norden @BangertNorbert @Luisamneubauer Was sollen solche Beleidigungen? Sie halten leider Kritik nicht aus und auch nicht Tatsachen. Schade.;negative;
34724;victorperli;1;2;@OlafScholz hat einen Negativrekord im Bundestag aufgestellt. Erst nach 91 Tagen Amtszeit laesst er sich im Haushaltsausschuss blicken. Kein Finanzminister hat sich so viel Zeit gelassen. Dafuer haben ihn alle Oppositionsfraktionen geruegt (ausser die handzahme AfD). WoistScholz;negative;
17369;AfDNbg;0;2;Ja es ist schon ein Graus fuer den Spiegel. Es will einfach nicht klappen, die AfD bleibt konservative. Der Spiegel sollte sich langsam Mal Gedanken machen, warum seine Verkaufszahlen in den Keller fallen. Mit diesem Gesinnungsjournalismus ist bald kein Brot mehr zuverdienen.;negative;
25902;CarenLay;0;2;@TobiasSchilling @juliannyca @egobischof @welt Umso schlimmer, dass dann ausgerechnet Nazis zum Kaffeekraenzchen geladen werden.;negative;Right
