doc_id;full_text;topic;label
ABaerbock15156546391;Habe mir das Gro Ko-Sondierungspapier zu Klima nochmal genau angeschaut. Krass: De facto wird sogar das Kyoto-Protokoll, der Meilenstein der Klimadiplomatie fuer nichtig erklaert! Frau Merkel, das geht so nicht! Nachbessern! kohleausstieg;Klima;negative
ABaerbock15210084491;Auch weltweit sieht man, dass Angela Merkel s Gro Ko 3.0 nicht klimatauglich ist, sondern vielmehr das Pariser Abkommen unterlaeuft. Auch aussenpolitisch fatal. Daher Klimasofortprogramm jetzt auflegen!;klimatauglich;negative
ABaerbock15216341971;Der groessten globalen Herausforderung, der Klimakrise, 30 Sek. von 1 Std Regierungserklaerung zu widmen, unterstreicht die groesste Leerstelle im Koalitionsvertrag. Auch sozialpolitisch wird uns das auf die Fuesse fallen. Unter den Klimafolgen leiden gerade die aermsten am meisten.;Klimakrise;negative
ABaerbock15283779591;Luise Amtsberg hat heute alles gesagt,was es zum Familiennachzug zu sagen gibt. Wer Integration will, muss Gefluechteten Perspektiven auf ein Zusammenleben mit ihren Familien geben. Das Grundrecht auf Familie darf nicht beschnitten werden. Die Gro Ko macht aber genau das.;Integration;negative
ABaerbock15372868401;Maassen nun also rechte Hand von Seehofer. Es gibt nicht genug Adjektive um das Drama dieser Grossen Koalition zu beschreiben. Aber ehrlich gesagt, mach ich mir nach heute einfach nur noch mehr Sorgen um die Zukunft unserer Demokratie. Umso mehr gilt: When They Go Low We Go High;Koalition;negative
ABaerbock15435904721;Ob Kohleausstieg, CO2-Preis, Verkehrswende oder die Einhaltung eigener CO2-Minderungsziele. Beim Klimaschutz hakt es in Deutschland an allen Ecken und Enden. Das muss sich dringend aendern. COP24;Klimaschutz;negative
ABaerbock15514725531;, Natascha Nicklaus + kaempfen fuer etwas das groesser ist als ein Bulletpoint auf ihrer Praxis Website. Sie kaempfen fuer das Selbstbestimmungsrecht von uns Frauen. Dafuer gibts zu Recht den Anne Klein Frauenpreis der Trustwomen wegmit219a;Frauen;positive
ABaerbock15587025261;Danke Fridays For Future. Das ist die groesste Klimabewegung aller Zeiten. Jung und Alt in ueber 300 Staedten Deutschlands auf der Strasse. Klima Wahl Vote For Climate Europawahl2019 Klimaschutz Jugend Aendert Europa;Klima;positive
ABaerbock15592071001;Inferno in Idlib : Helfer, die mit Blut ueberstroemte Kinder aus den Truemmern ziehen, die Augen aufgerissen, der Blick starr vor Entsetzen. Die Welt hat uns aufgegeben. Eine Schande fuer uns alle.;Idlib;negative
ABaerbock15823659901;Say Their Names Wir trauern um Ferhat Uenver Mercedes Kierpacz Sedat Guerbuez Goekhan Gueltekin Hamza Kurtovi Kalojan W. Vili V. Pun Said N. Hashemi Ein neuntes Opfer die bei dem rassistischem Anschlag in Hanau aus ihrem Leben gerissen wurden. Ebenso seine Mutter, Frau Rathjen;Hanau;negative
ABaerbock15840263781;Humanitaet und Ordnung: Das bedingt einander. Das sehen wir nicht nur auf Lesbos, das sehen wir ueberall an der griechisch-tuerkischen Grenze. Wer zentrale Grundrechte ausser Kraft setzt produziert Chaos, statt geordneter Verfahren. Griechenland Tuerkei;Grenze;negative
ABaerbock15944555611;Erinnerung an Srebrenica - kaum zu ertragen. Ein Voelkermord mitten in Europa, jahrelange Verbrechen gegen die Menschlichkeit, ethnische Saeuberung, Vergewaltigung als Kriegswaffe ... Srebrenica25Years On Mahnung fuer uns alle.;Srebrenica;negative
ABaerbock16050957581;Unglaubliche Strafrechtsverschaerfungen in Belarus , um friedliche Demonstranten zu inhaftieren und im wahrsten Sinne des Wortes mundtot zu machen. Die EU muss auf allen Ebenen aktiv werden - gerade auch ggue dem Kreml, d diese massiven Menschenrechtsverletzungen stuetzt.;Menschenrechtsverletzungen;negative
ABaerbock16060596891;Stolz wie Bolle auf unser neues Grundsatzprogramm. Leidenschaftliche Debatten mit Herz Verstand - so haben wir unser Wertefundament fuer das naechste Jahrzehnt geschaffen. Was fuer eine Arbeit von so vielen. Danke, dass wir gemeinsam diesen Parteitag digital gewagt haben. dbdk20;Parteitag;positive
A_Gloeckner15707926111;Es ist die richtige Entscheidung Abiy Ahmed mit dem Friedensnobelpreis auszuzeichnen. Er hat es geschafft Voelker zu versoehnen und damit einen wichtigen Beitrag fuer Weltfriede und Humanitaet geleistet. aethiopien hungersnotbekaempfen Friedensnobelpreis;Friedensnobelpreis;positive
AfDNbg15520306521;Malys neuerliche Behauptung, dass Nuernbergs Sicherheit besser geworden sei, ist unglaubwuerdig. Die zunehmende Anzahl an Wohlstandssuchenden werden wohl kaum zu Heiligen mutiert sein. Fluechtlinge Migranten;Migranten;negative
AfDNbg15571536931;Die Industrie ist da nun nicht ganz zu verstehen. Vor 3 Jahren hat die noch Refugees Welcome gerufen und heute beschwert die sich, dass kein Geld fuer Investitionen da ist. Nee, nee wo soll das noch hinfuehren.;Refugees;negative
AfDNbg15600773711;Und ARD soll wirklich noch mehr Geld bekommen??? GEZ Ich verrate ihnen was. Der Qualitaetsmangel bei den GEZ Medien liegt nicht am Geld, sondern am Personal. Nein, lassen Sie es stecken, kostet nichts.;Medien;negative
AndiScheuer15762255731;Klimaschutz sorgt fuer neue Arbeitsplaetze in den Regionen. Regionalbusse, Lkw, Gabelstapler Autos tanken u.a. in Landshut bald Wasserstoff rein aus erneuerbaren Energien - vor Ort hergestellt! Herzlichen Glueckwunsch an alle 16 H2-Regionen in Deutschland. Hy Land Hy Bayern;Klimaschutz;positive
AndreasBleckMdB15108464351;Peinlich fuer die Gruenen: Einige dieser Staaten, die den Kohleausstieg wollen, setzen auf die Kernenergie. Entscheidet euch endlich! Ein gleichzeitiger Ausstieg aus der fossilen Energie und Kernenergie ist auf absehbare Zeit nicht moeglich!;Kohleausstieg;negative
AndreasBleckMdB15163475891;Die CDU/CSU-Fraktion praesentiert sich mit ihrem Antrag zur Aenderung des Aufenthaltsgesetzes als Loesung des Problems Fluechtlingskrise. Ein Problem, dass es ohne CDU und CSU gar nicht gegeben haette!;Fluechtlingskrise;negative
AndreasBleckMdB15228248931;Die Anzahl der Salafisten in Deutschland waechst zurzeit exponentiell, die Personalkapazitaeten des Verfassungsschutzes nur linear. Es ist eine Frage von Zeit, bis die Beobachtung nicht mehr zu gewaehrleisten ist. Salafisten Verfassungsschutz;Salafisten;negative
AndreasBleckMdB15332867251;Mit Merkel den CSU-Wahlkampf zu bestreiten, ist wie mit dem Schwarzen Peter zu trumpfen. Die CSU laesst wirklich keine Gelegenheit aus, ihre Unglaubwuerdigkeit offen zur Schau zu stellen. Weiter so!;Merkel;negative
AndrejHunko15265571781;Uebrigens: Die USA sanktionieren die EU-Energiebeziehungen zu Russland und Iran, dafuer bieten die EU-Staatschefs ihnen gestern in Sofia an, dass die USA einfacher US-Fracking LNG in die EU importieren koennen... nicht zu fassen.;USA;negative
AndrejHunko15300965671;Der Bundesinnenminister nennt private Seenotretter Shuttle zwischen Libyen und Suedeuropa. Das ist Identitaeren-Sprech und soll die neue rechte Achse Rom-Wien-Berlin zementieren. Der Mann gehoert sofort von Bord! Lifeline;Seenotretter;negative
