"Qnum";"Question";"Answer1";"Answer2";"Answer3"
"1";"voraussetzung dafuer ist aber bis jetzt, dass man vorher sechs monate im inland taetig gewesen ist";"Neutral";"Positiv";"Negativ"
"2";"heute irgendwelche auskuenfte ueber die moeglichen hoehen preiszugeben, wuerde ja bedeuten, dass man dem verhandlungspartner einiges signalisierte";"Neutral";"Positiv";"Negativ"
"3";"rettungspakete darf es nur in aeussersten notfaellen, also als ultima ratio, geben";"Neutral";"Positiv";"Negativ"
"4";"halten sie eine bearbeitungszeit von 53 monaten seit dem beschluss des bundestages fuer ein raum- und funktionsprogramm des bundeskanzleramtes, das man normalerweise in drei monaten zustande bringt, fuer ein zeichen dafuer, wie zuegig sich die bundesregierung um die umsetzung des mehrheitsbeschlusses des deutschen bundestages bemueht ? .";"Neutral";"Positiv";"Negativ"
"5";"das halten wir fuer hoechst problematisch";"Neutral";"Positiv";"Negativ"
"6";"eigentlich ist die fortsetzung der arbeit der enquete-kommission recht und ethik der modernen medizin nur folgerichtig";"Neutral";"Positiv";"Negativ"
"7";"sie betreffen zum beispiel die fluechtlingsrueckkehr, bei der es noch probleme gibt, die dezentralisierung, die nicht vorankommt, und die restitution der fluechtlinge aus der zeit der maerzunruhen";"Neutral";"Positiv";"Negativ"
"8";"so betraegt die arbeitslosigkeit unter den behinderten im westen 17 prozent und im osten 24,5 prozent";"Neutral";"Positiv";"Negativ"
"9";"in dieser frage waren wir uns bisher mit den kollegen der spd und denen der cdu/csu erfreulicherweise immer insoweit einig, dass es besser ist, sich um die terminierung so zu kuemmern, dass im ergebnis etwas fuer diejenigen herauskommt, denen wir uns gemeinsam verpflichtet fuehlen, naemlich fuer die auslaender, die seit vielen jahren in der bundesrepublik leben und deren integration wir erleichtern wollen";"Neutral";"Positiv";"Negativ"
"10";"es gibt aufgrund der ermittlung in den letzten 14 tagen keine anhaltspunkte, dass die kontamination bereits auf demacker erfolgt ist";"Neutral";"Positiv";"Negativ"
"11";"wir erleben, wie schrecklich sich der grossflaechig organisierte handel mit kindern auswirkt: netzwerke von haendlern arbeiten sich durch staedte, laendliche gebiete und fluechtlingscamps, um kinder und frauen in ihren besitz zu bringen";"Neutral";"Positiv";"Negativ"
"12";"beurteilungskriterium ist das produkt, das nach allen sicherheitstechnischen qualitaetsmerkmalen, die sich nach dem stand von wissenschaft und technik richten, zu begutachten ist";"Neutral";"Positiv";"Negativ"
"13";"(zustimmung beim buendnis 90/die gruenen und bei der spd) insofern haben sie mit mir kein problem, was die zusammenarbeit zwischen privaten unternehmen und der oeffentlichen hand - das ist die deutsche uebersetzung von public private partnership - angeht";"Neutral";"Positiv";"Negativ"
"14";"vielen dank fuer die aufmerksamkeit";"Neutral";"Positiv";"Negativ"
"15";"vorsichtig ausgedrueckt - weil unsere sitzungen hier im bundestag oeffentlich sind - sind das unverlangt geschickte mails mit oft auch jugendgefaehrdendem inhalt";"Neutral";"Positiv";"Negativ"
"16";"jeden tag gehen mehr als 150 unternehmen konkurs";"Neutral";"Positiv";"Negativ"
